Employee ID,First Name,Last Name,Gender,State,City,Hire Date,Department,Job Title,Education Level,Performance Rating,Overtime,Salary,Birth Date,Termination Date,Adjusted Salary
E000001,Luke,Johnson,Male,New York,New York City,2019-10-18 15:46:25.248191520,Finance,Financial Analyst,Bachelor's,Good,Yes,76970,1991-10-18 15:46:25.248191520,,78509.4
E000002,Alexander,Fowler,Female,New York,Buffalo,2019-02-10 18:27:13.766415184,Engineering,Engineering Manager,Master's,Satisfactory,No,122476,1971-02-10 18:27:13.766415184,2022-07-17 23:39:54.472905440,141459.78
E000003,Brandi,Lambert,Female,Texas,Austin,2019-01-29 12:12:57.377820512,Sales,Sales Manager,Bachelor's,Good,No,87139,1975-01-29 12:12:57.377820512,,91495.95
E000004,Jeffrey,Peterson,Male,Texas,Houston,2023-08-17 16:57:40.155982272,Finance,Accountant,Bachelor's,Good,No,62016,1979-08-17 16:57:40.155982272,,66419.136
E000005,Maria,Hopkins,Female,California,San Diego,2018-11-10 20:41:07.469392208,Engineering,Software Engineer,Bachelor's,Satisfactory,No,94412,1976-11-10 20:41:07.469392208,,99132.6
E000006,Priscilla,Vance,Female,Texas,Austin,2015-06-04 13:01:24.008375732,Sales,Sales Associate,Associate's,Satisfactory,Yes,40974,1976-06-04 13:01:24.008375732,,43022.700000000004
E000007,Kayla,Gray,Female,New York,Rochester,2018-08-07 03:01:30.887093056,HR,HR Assistant,Bachelor's,Satisfactory,Yes,46827,1973-08-07 03:01:30.887093056,,49168.35
E000008,Kristen,Galloway,Male,New York,Buffalo,2015-02-20 16:04:49.755091384,Sales,Sales Associate,Associate's,Excellent,No,42541,1979-02-20 16:04:49.755091384,,45561.411
E000009,Helen,Gray,Male,New York,Buffalo,2021-02-11 21:04:23.247199264,Sales,Sales Manager,Bachelor's,Satisfactory,No,96931,1982-02-11 21:04:23.247199264,,98869.62
E000010,Brett,Phillips,Female,Texas,Houston,2023-11-17 00:49:27.768175488,Engineering,Senior Software Engineer,Master's,Good,Yes,106872,1989-11-17 00:49:27.768175488,,117559.20000000001
E000011,Christopher,Larson,Female,New York,Rochester,2015-08-30 07:04:03.509433652,Engineering,Software Engineer,Bachelor's,Good,Yes,92730,1961-08-30 07:04:03.509433652,,97366.5
E000012,Matthew,Sullivan,Male,Texas,Austin,2020-12-30 16:37:20.503745056,Engineering,Senior Software Engineer,Master's,Satisfactory,No,107508,1983-12-30 16:37:20.503745056,,120623.97600000001
E000013,David,Martin,Female,New York,New York City,2015-11-01 18:30:36.873740300,HR,HR Specialist,Bachelor's,Good,No,60759,1986-11-01 18:30:36.873740300,2019-01-24 05:22:00.243239036,60759.0
E000014,Amanda,Raymond,Female,Florida,Orlando,2015-01-01 04:39:11.528363481,Engineering,Engineering Manager,Master's,Satisfactory,No,126571,1971-01-01 04:39:11.528363481,2018-10-24 10:05:05.336278441,146189.505
E000015,Andrew,Wood,Female,California,Los Angeles,2023-09-29 04:14:14.881249184,Finance,Finance Manager,Master's,Excellent,No,93234,1986-09-29 04:14:14.881249184,,102557.40000000001
E000016,Lisa,Ross,Male,California,San Diego,2023-04-24 13:00:06.272004928,Engineering,Engineering Manager,Master's,Good,No,124119,1963-04-24 13:00:06.272004928,,146224.5939
E000017,Brianna,Le,Female,Florida,Miami,2019-11-12 23:47:24.238927648,Engineering,Software Engineer,Bachelor's,Satisfactory,No,84717,1967-11-12 23:47:24.238927648,,88952.85
E000018,Daniel,Brown,Male,Texas,Dallas,2019-07-01 08:14:12.261657728,Engineering,Engineering Manager,Master's,Good,Yes,142505,1969-07-01 08:14:12.261657728,,167885.1405
E000019,Matthew,Anthony,Female,New York,New York City,2015-09-20 16:29:12.902200392,Sales,Sales Associate,Associate's,Excellent,No,49880,1967-09-20 16:29:12.902200392,,52374.0
